fecha,product_id,stock_inicial,entradas,salidas,stock_final
2025-01-01,101,187,0,9,178
2025-01-02,101,178,0,2,176
2025-01-03,101,176,0,9,167
2025-01-04,101,167,0,0,167
2025-01-05,101,167,0,7,160
2025-01-06,101,160,0,4,156
2025-01-07,101,156,0,3,153
2025-01-08,101,153,0,7,146
2025-01-09,101,146,0,6,140
2025-01-10,101,140,0,1,139
2025-01-11,101,139,0,0,139
2025-01-12,101,139,0,3,136
2025-01-13,101,136,0,7,129
2025-01-14,101,129,0,1,128
2025-01-15,101,128,0,2,126
2025-01-16,101,126,0,0,126
2025-01-17,101,126,0,0,126
2025-01-18,101,126,0,2,124
2025-01-19,101,124,0,4,120
2025-01-20,101,120,0,2,118
2025-01-21,101,118,0,0,118
2025-01-22,101,118,0,0,118
2025-01-23,101,118,0,7,111
2025-01-24,101,111,0,9,102
2025-01-25,101,102,0,1,101
2025-01-26,101,101,0,2,99
2025-01-27,101,99,0,1,98
2025-01-28,101,98,0,2,96
2025-01-29,101,96,0,6,90
2025-01-30,101,90,0,0,90
2025-01-31,101,90,0,9,81
2025-02-01,101,81,0,7,74
2025-02-02,101,74,0,9,65
2025-02-03,101,65,0,9,56
2025-02-04,101,56,0,9,47
2025-02-05,101,47,0,1,46
2025-02-06,101,46,0,2,44
2025-02-07,101,44,0,8,36
2025-02-08,101,36,0,9,27
2025-02-09,101,27,0,7,20
2025-02-10,101,20,0,4,16
2025-02-11,101,16,120,3,133
2025-02-12,101,133,0,9,124
2025-02-13,101,124,0,4,120
2025-02-14,101,120,0,8,112
2025-02-15,101,112,0,7,105
2025-02-16,101,105,0,2,103
2025-02-17,101,103,0,0,103
2025-02-18,101,103,0,2,101
2025-02-19,101,101,0,3,98
2025-02-20,101,98,0,1,97
2025-02-21,101,97,0,0,97
2025-02-22,101,97,0,6,91
2025-02-23,101,91,0,7,84
2025-02-24,101,84,0,6,78
2025-02-25,101,78,0,4,74
2025-02-26,101,74,0,0,74
2025-02-27,101,74,0,6,68
2025-02-28,101,68,0,6,62
2025-03-01,101,62,0,8,54
2025-03-02,101,54,0,2,52
2025-03-03,101,52,0,8,44
2025-03-04,101,44,0,0,44
2025-03-05,101,44,0,0,44
2025-03-06,101,44,0,3,41
2025-03-07,101,41,0,8,33
2025-03-08,101,33,0,2,31
2025-03-09,101,31,0,8,23
2025-03-10,101,23,0,8,15
2025-03-11,101,15,0,3,12
2025-03-12,101,12,0,4,8
2025-03-13,101,8,0,8,0
2025-03-14,101,0,0,4,0
2025-03-15,101,0,0,6,0
2025-03-16,101,0,0,6,0
2025-03-17,101,0,0,9,0
2025-03-18,101,0,120,9,111
2025-03-19,101,111,0,4,107
2025-03-20,101,107,0,2,105
2025-03-21,101,105,0,6,99
2025-03-22,101,99,0,1,98
2025-03-23,101,98,0,8,90
2025-03-24,101,90,0,9,81
2025-03-25,101,81,0,9,72
2025-03-26,101,72,0,0,72
2025-03-27,101,72,0,5,67
2025-03-28,101,67,0,6,61
2025-03-29,101,61,0,7,54
2025-03-30,101,54,0,9,45
2025-03-31,101,45,0,8,37
2025-04-01,101,37,0,9,28
2025-04-02,101,28,0,4,24
2025-04-03,101,24,0,7,17
2025-04-04,101,17,0,0,17
2025-04-05,101,17,0,0,17
2025-04-06,101,17,120,8,129
2025-04-07,101,129,0,3,126
2025-04-08,101,126,0,3,123
2025-04-09,101,123,0,5,118
2025-04-10,101,118,0,2,116
2025-04-11,101,116,0,5,111
2025-04-12,101,111,0,6,105
2025-04-13,101,105,0,9,96
2025-04-14,101,96,0,9,87
2025-04-15,101,87,0,2,85
2025-04-16,101,85,0,6,79
2025-04-17,101,79,0,2,77
2025-04-18,101,77,0,1,76
2025-04-19,101,76,0,9,67
2025-04-20,101,67,0,3,64
2025-04-21,101,64,0,7,57
2025-04-22,101,57,0,8,49
2025-04-23,101,49,0,6,43
2025-04-24,101,43,0,0,43
2025-04-25,101,43,0,2,41
2025-04-26,101,41,0,8,33
2025-04-27,101,33,0,0,33
2025-04-28,101,33,0,0,33
2025-04-29,101,33,0,5,28
2025-04-30,101,28,0,4,24
2025-05-01,101,24,0,4,20
2025-05-02,101,20,120,4,136
2025-05-03,101,136,0,3,133
2025-05-04,101,133,0,2,131
2025-05-05,101,131,0,2,129
2025-05-06,101,129,0,3,126
2025-05-07,101,126,0,8,118
2025-05-08,101,118,0,1,117
2025-05-09,101,117,0,8,109
2025-05-10,101,109,0,0,109
2025-05-11,101,109,0,0,109
2025-05-12,101,109,0,4,105
2025-05-13,101,105,0,5,100
2025-05-14,101,100,0,5,95
2025-05-15,101,95,0,2,93
2025-05-16,101,93,0,6,87
2025-05-17,101,87,0,8,79
2025-05-18,101,79,0,9,70
2025-05-19,101,70,0,7,63
2025-05-20,101,63,0,5,58
2025-05-21,101,58,0,7,51
2025-05-22,101,51,0,4,47
2025-05-23,101,47,0,7,40
2025-05-24,101,40,0,9,31
2025-05-25,101,31,0,9,22
2025-05-26,101,22,0,1,21
2025-05-27,101,21,0,4,17
2025-05-28,101,17,120,5,132
2025-05-29,101,132,0,0,132
2025-05-30,101,132,0,8,124
2025-05-31,101,124,0,0,124
2025-06-01,101,124,0,4,120
2025-06-02,101,120,0,3,117
2025-06-03,101,117,0,2,115
2025-06-04,101,115,0,5,110
2025-06-05,101,110,0,1,109
2025-06-06,101,109,0,2,107
2025-06-07,101,107,0,4,103
2025-06-08,101,103,0,8,95
2025-06-09,101,95,0,1,94
2025-06-10,101,94,0,9,85
2025-06-11,101,85,0,7,78
2025-06-12,101,78,0,1,77
2025-06-13,101,77,0,4,73
2025-06-14,101,73,0,6,67
2025-06-15,101,67,0,7,60
2025-06-16,101,60,0,0,60
2025-06-17,101,60,0,5,55
2025-06-18,101,55,0,0,55
2025-06-19,101,55,0,1,54
2025-06-20,101,54,0,0,54
2025-06-21,101,54,0,4,50
2025-06-22,101,50,0,9,41
2025-06-23,101,41,0,8,33
2025-06-24,101,33,120,0,153
2025-06-25,101,153,0,0,153
2025-06-26,101,153,0,1,152
2025-06-27,101,152,0,8,144
2025-06-28,101,144,0,2,142
2025-06-29,101,142,0,0,142
2025-06-30,101,142,0,4,138
2025-07-01,101,138,0,6,132
2025-07-02,101,132,0,5,127
2025-07-03,101,127,0,0,127
2025-07-04,101,127,0,4,123
2025-07-05,101,123,0,4,119
2025-07-06,101,119,0,5,114
2025-07-07,101,114,0,2,112
2025-07-08,101,112,0,4,108
2025-07-09,101,108,0,6,102
2025-07-10,101,102,0,4,98
2025-07-11,101,98,0,4,94
2025-07-12,101,94,0,4,90
2025-07-13,101,90,0,9,81
2025-07-14,101,81,0,9,72
2025-07-15,101,72,0,2,70
2025-07-16,101,70,0,0,70
2025-07-17,101,70,0,4,66
2025-07-18,101,66,0,8,58
2025-07-19,101,58,0,0,58
2025-07-20,101,58,0,2,56
2025-07-21,101,56,0,3,53
2025-07-22,101,53,0,0,53
2025-07-23,101,53,0,0,53
2025-07-24,101,53,0,7,46
2025-07-25,101,46,0,1,45
2025-07-26,101,45,0,7,38
2025-07-27,101,38,0,9,29
2025-07-28,101,29,0,5,24
2025-07-29,101,24,0,1,23
2025-07-30,101,23,0,5,18
2025-07-31,101,18,120,8,130
2025-08-01,101,130,0,0,130
2025-08-02,101,130,0,6,124
2025-08-03,101,124,0,4,120
2025-08-04,101,120,0,4,116
2025-08-05,101,116,0,1,115
2025-08-06,101,115,0,2,113
2025-08-07,101,113,0,6,107
2025-08-08,101,107,0,5,102
2025-08-09,101,102,0,1,101
2025-08-10,101,101,0,5,96
2025-08-11,101,96,0,1,95
2025-08-12,101,95,0,1,94
2025-08-13,101,94,0,1,93
2025-08-14,101,93,0,2,91
2025-08-15,101,91,0,1,90
2025-08-16,101,90,0,3,87
2025-08-17,101,87,0,8,79
2025-08-18,101,79,0,5,74
2025-08-19,101,74,0,0,74
2025-08-20,101,74,0,7,67
2025-08-21,101,67,0,6,61
2025-08-22,101,61,0,9,52
2025-08-23,101,52,0,2,50
2025-08-24,101,50,0,0,50
2025-08-25,101,50,0,4,46
2025-08-26,101,46,0,3,43
2025-08-27,101,43,0,9,34
2025-08-28,101,34,120,9,145
2025-08-29,101,145,0,0,145
2025-08-30,101,145,0,3,142
2025-08-31,101,142,0,7,135
2025-09-01,101,135,0,4,131
2025-09-02,101,131,0,1,130
2025-09-03,101,130,0,5,125
2025-09-04,101,125,0,4,121
2025-09-05,101,121,0,1,120
2025-09-06,101,120,0,2,118
2025-09-07,101,118,0,8,110
2025-09-08,101,110,0,6,104
2025-09-09,101,104,0,6,98
2025-09-10,101,98,0,5,93
2025-09-11,101,93,0,7,86
2025-09-12,101,86,0,3,83
2025-09-13,101,83,0,7,76
2025-09-14,101,76,0,3,73
2025-09-15,101,73,0,7,66
2025-09-16,101,66,0,8,58
2025-09-17,101,58,0,2,56
2025-09-18,101,56,0,2,54
2025-09-19,101,54,0,1,53
2025-09-20,101,53,0,9,44
2025-09-21,101,44,0,2,42
2025-09-22,101,42,0,2,40
2025-09-23,101,40,0,4,36
2025-09-24,101,36,0,9,27
2025-09-25,101,27,0,4,23
2025-09-26,101,23,0,4,19
2025-09-27,101,19,0,9,10
2025-09-28,101,10,0,0,10
2025-09-29,101,10,0,8,2
2025-09-30,101,2,0,8,0
2025-10-01,101,0,0,7,0
2025-10-02,101,0,0,0,0
2025-10-03,101,0,0,0,0
2025-10-04,101,0,0,2,0
2025-10-05,101,0,0,7,0
2025-10-06,101,0,0,9,0
2025-10-07,101,0,0,7,0
2025-10-08,101,0,0,9,0
2025-10-09,101,0,0,7,0
2025-10-10,101,0,0,2,0
2025-10-11,101,0,0,1,0
2025-10-12,101,0,0,2,0
2025-10-13,101,0,0,8,0
2025-10-14,101,0,0,9,0
2025-10-15,101,0,0,0,0
2025-10-16,101,0,0,9,0
2025-10-17,101,0,0,8,0
2025-10-18,101,0,0,3,0
2025-10-19,101,0,0,9,0
2025-10-20,101,0,0,1,0
2025-10-21,101,0,0,5,0
2025-10-22,101,0,0,7,0
2025-10-23,101,0,0,2,0
2025-10-24,101,0,0,4,0
2025-10-25,101,0,0,9,0
2025-10-26,101,0,0,7,0
2025-10-27,101,0,0,5,0
2025-10-28,101,0,0,0,0
2025-10-29,101,0,0,4,0
2025-10-30,101,0,0,6,0
2025-10-31,101,0,0,7,0
2025-11-01,101,0,0,6,0
2025-11-02,101,0,0,7,0
2025-11-03,101,0,0,7,0
2025-11-04,101,0,0,1,0
2025-11-05,101,0,0,3,0
2025-11-06,101,0,0,5,0
2025-11-07,101,0,0,7,0
2025-11-08,101,0,0,8,0
2025-11-09,101,0,0,7,0
2025-11-10,101,0,0,4,0
2025-11-11,101,0,0,5,0
2025-11-12,101,0,0,3,0
2025-11-13,101,0,0,0,0
2025-11-14,101,0,0,0,0
2025-11-15,101,0,0,5,0
2025-11-16,101,0,0,3,0
2025-11-17,101,0,0,2,0
2025-11-18,101,0,0,1,0
2025-11-19,101,0,0,4,0
2025-11-20,101,0,0,1,0
2025-11-21,101,0,0,1,0
2025-11-22,101,0,0,4,0
2025-11-23,101,0,0,8,0
2025-11-24,101,0,0,7,0
2025-11-25,101,0,0,2,0
2025-11-26,101,0,0,0,0
2025-11-27,101,0,0,1,0
2025-11-28,101,0,0,7,0
2025-11-29,101,0,120,1,119
2025-11-30,101,119,0,2,117
2025-12-01,101,117,0,2,115
2025-12-02,101,115,0,0,115
2025-12-03,101,115,0,7,108
2025-12-04,101,108,0,5,103
2025-12-05,101,103,0,7,96
2025-12-06,101,96,0,8,88
2025-12-07,101,88,0,4,84
2025-12-08,101,84,0,2,82
2025-12-09,101,82,0,4,78
2025-12-10,101,78,0,4,74
2025-12-11,101,74,0,4,70
2025-12-12,101,70,0,2,68
2025-12-13,101,68,0,9,59
2025-12-14,101,59,0,3,56
2025-12-15,101,56,0,8,48
2025-12-16,101,48,0,9,39
2025-12-17,101,39,0,7,32
2025-12-18,101,32,0,7,25
2025-12-19,101,25,0,2,23
2025-12-20,101,23,0,0,23
2025-12-21,101,23,0,0,23
2025-12-22,101,23,0,0,23
2025-12-23,101,23,0,1,22
2025-12-24,101,22,0,7,15
2025-12-25,101,15,0,6,9
2025-12-26,101,9,0,5,4
2025-12-27,101,4,0,2,2
2025-12-28,101,2,0,3,0
2025-12-29,101,0,0,0,0
2025-12-30,101,0,0,6,0
2025-12-31,101,0,0,5,0
2026-01-01,101,0,0,4,0
2026-01-02,101,0,0,0,0
2026-01-03,101,0,0,5,0
2026-01-04,101,0,0,4,0
2026-01-05,101,0,0,0,0
2026-01-06,101,0,0,3,0
2026-01-07,101,0,0,3,0
2026-01-08,101,0,0,7,0
2026-01-09,101,0,0,3,0
2026-01-10,101,0,0,1,0
2026-01-11,101,0,0,2,0
2026-01-12,101,0,0,3,0
2026-01-13,101,0,0,4,0
2026-01-14,101,0,0,9,0
2026-01-15,101,0,0,5,0
2026-01-16,101,0,0,9,0
2026-01-17,101,0,120,9,111
2026-01-18,101,111,0,7,104
2026-01-19,101,104,0,1,103
2026-01-20,101,103,0,8,95
2026-01-21,101,95,0,0,95
2026-01-22,101,95,0,7,88
2026-01-23,101,88,0,3,85
2026-01-24,101,85,0,3,82
2026-01-25,101,82,0,4,78
2026-01-26,101,78,0,7,71
2026-01-27,101,71,0,4,67
2026-01-28,101,67,0,7,60
2026-01-29,101,60,0,9,51
2026-01-30,101,51,0,0,51
2026-01-31,101,51,0,9,42
2026-02-01,101,42,0,8,34
2026-02-02,101,34,0,7,27
2026-02-03,101,27,0,6,21
2026-02-04,101,21,0,4,17
2026-02-05,101,17,120,3,134
2026-02-06,101,134,0,5,129
2026-02-07,101,129,0,6,123
2026-02-08,101,123,0,8,115
2026-02-09,101,115,0,0,115
2026-02-10,101,115,0,5,110
2026-02-11,101,110,0,6,104
2026-02-12,101,104,0,2,102
2026-02-13,101,102,0,7,95
2026-02-14,101,95,0,4,91
2026-02-15,101,91,0,8,83
2026-02-16,101,83,0,4,79
2026-02-17,101,79,0,8,71
2026-02-18,101,71,0,9,62
2026-02-19,101,62,0,3,59
2026-02-20,101,59,0,8,51
2026-02-21,101,51,0,4,47
2026-02-22,101,47,0,9,38
2026-02-23,101,38,0,3,35
2026-02-24,101,35,0,5,30
2026-02-25,101,30,0,1,29
2026-02-26,101,29,0,0,29
2026-02-27,101,29,0,2,27
2026-02-28,101,27,0,8,19
2026-03-01,101,19,0,5,14
2026-03-02,101,14,0,0,14
2026-03-03,101,14,0,5,9
2026-03-04,101,9,0,1,8
2026-03-05,101,8,0,6,2
2026-03-06,101,2,120,8,114
2026-03-07,101,114,0,0,114
2026-03-08,101,114,0,3,111
2026-03-09,101,111,0,5,106
2026-03-10,101,106,0,5,101
2026-03-11,101,101,0,7,94
2026-03-12,101,94,0,0,94
2026-03-13,101,94,0,6,88
2026-03-14,101,88,0,0,88
2026-03-15,101,88,0,6,82
2026-03-16,101,82,0,2,80
2026-03-17,101,80,0,7,73
2026-03-18,101,73,0,2,71
2026-03-19,101,71,0,0,71
2026-03-20,101,71,0,7,64
2026-03-21,101,64,0,2,62
2026-03-22,101,62,0,1,61
2026-03-23,101,61,0,0,61
2026-03-24,101,61,0,2,59
2026-03-25,101,59,0,1,58
2026-03-26,101,58,0,1,57
2026-03-27,101,57,0,5,52
2026-03-28,101,52,0,0,52
2026-03-29,101,52,0,1,51
2026-03-30,101,51,0,5,46
2026-03-31,101,46,0,2,44
2026-04-01,101,44,0,3,41
2026-04-02,101,41,0,0,41
2026-04-03,101,41,0,7,34
2026-04-04,101,34,0,6,28
2026-04-05,101,28,0,9,19
2026-04-06,101,19,0,1,18
2026-04-07,101,18,0,6,12
2026-04-08,101,12,120,1,131
2026-04-09,101,131,0,6,125
2025-01-01,102,142,0,7,135
2025-01-02,102,135,0,0,135
2025-01-03,102,135,0,8,127
2025-01-04,102,127,0,6,121
2025-01-05,102,121,0,2,119
2025-01-06,102,119,0,7,112
2025-01-07,102,112,0,6,106
2025-01-08,102,106,0,7,99
2025-01-09,102,99,0,5,94
2025-01-10,102,94,0,8,86
2025-01-11,102,86,0,4,82
2025-01-12,102,82,0,2,80
2025-01-13,102,80,0,2,78
2025-01-14,102,78,0,0,78
2025-01-15,102,78,0,7,71
2025-01-16,102,71,0,1,70
2025-01-17,102,70,0,2,68
2025-01-18,102,68,0,7,61
2025-01-19,102,61,0,7,54
2025-01-20,102,54,0,3,51
2025-01-21,102,51,0,3,48
2025-01-22,102,48,0,4,44
2025-01-23,102,44,0,5,39
2025-01-24,102,39,0,6,33
2025-01-25,102,33,0,6,27
2025-01-26,102,27,0,0,27
2025-01-27,102,27,0,2,25
2025-01-28,102,25,0,2,23
2025-01-29,102,23,0,1,22
2025-01-30,102,22,0,4,18
2025-01-31,102,18,0,9,9
2025-02-01,102,9,0,2,7
2025-02-02,102,7,0,3,4
2025-02-03,102,4,0,5,0
2025-02-04,102,0,0,8,0
2025-02-05,102,0,0,2,0
2025-02-06,102,0,120,5,115
2025-02-07,102,115,0,7,108
2025-02-08,102,108,0,0,108
2025-02-09,102,108,0,9,99
2025-02-10,102,99,0,7,92
2025-02-11,102,92,0,6,86
2025-02-12,102,86,0,0,86
2025-02-13,102,86,0,1,85
2025-02-14,102,85,0,2,83
2025-02-15,102,83,0,0,83
2025-02-16,102,83,0,8,75
2025-02-17,102,75,0,7,68
2025-02-18,102,68,0,1,67
2025-02-19,102,67,0,8,59
2025-02-20,102,59,0,6,53
2025-02-21,102,53,0,8,45
2025-02-22,102,45,0,5,40
2025-02-23,102,40,0,5,35
2025-02-24,102,35,0,3,32
2025-02-25,102,32,0,1,31
2025-02-26,102,31,0,5,26
2025-02-27,102,26,120,4,142
2025-02-28,102,142,0,9,133
2025-03-01,102,133,0,3,130
2025-03-02,102,130,0,8,122
2025-03-03,102,122,0,5,117
2025-03-04,102,117,0,1,116
2025-03-05,102,116,0,0,116
2025-03-06,102,116,0,4,112
2025-03-07,102,112,0,8,104
2025-03-08,102,104,0,5,99
2025-03-09,102,99,0,9,90
2025-03-10,102,90,0,6,84
2025-03-11,102,84,0,4,80
2025-03-12,102,80,0,9,71
2025-03-13,102,71,0,5,66
2025-03-14,102,66,0,4,62
2025-03-15,102,62,0,8,54
2025-03-16,102,54,0,5,49
2025-03-17,102,49,0,7,42
2025-03-18,102,42,0,1,41
2025-03-19,102,41,0,8,33
2025-03-20,102,33,0,9,24
2025-03-21,102,24,120,9,135
2025-03-22,102,135,0,4,131
2025-03-23,102,131,0,9,122
2025-03-24,102,122,0,1,121
2025-03-25,102,121,0,5,116
2025-03-26,102,116,0,0,116
2025-03-27,102,116,0,2,114
2025-03-28,102,114,0,4,110
2025-03-29,102,110,0,3,107
2025-03-30,102,107,0,2,105
2025-03-31,102,105,0,9,96
2025-04-01,102,96,0,4,92
2025-04-02,102,92,0,7,85
2025-04-03,102,85,0,3,82
2025-04-04,102,82,0,0,82
2025-04-05,102,82,0,6,76
2025-04-06,102,76,0,7,69
2025-04-07,102,69,0,2,67
2025-04-08,102,67,0,5,62
2025-04-09,102,62,0,1,61
2025-04-10,102,61,0,6,55
2025-04-11,102,55,0,7,48
2025-04-12,102,48,0,5,43
2025-04-13,102,43,0,5,38
2025-04-14,102,38,0,0,38
2025-04-15,102,38,0,3,35
2025-04-16,102,35,0,3,32
2025-04-17,102,32,0,1,31
2025-04-18,102,31,0,1,30
2025-04-19,102,30,0,8,22
2025-04-20,102,22,0,0,22
2025-04-21,102,22,0,7,15
2025-04-22,102,15,0,6,9
2025-04-23,102,9,0,1,8
2025-04-24,102,8,0,2,6
2025-04-25,102,6,0,1,5
2025-04-26,102,5,0,4,1
2025-04-27,102,1,0,0,1
2025-04-28,102,1,0,9,0
2025-04-29,102,0,0,0,0
2025-04-30,102,0,0,7,0
2025-05-01,102,0,0,4,0
2025-05-02,102,0,0,4,0
2025-05-03,102,0,0,5,0
2025-05-04,102,0,120,1,119
2025-05-05,102,119,0,8,111
2025-05-06,102,111,0,9,102
2025-05-07,102,102,0,8,94
2025-05-08,102,94,0,9,85
2025-05-09,102,85,0,9,76
2025-05-10,102,76,0,6,70
2025-05-11,102,70,0,0,70
2025-05-12,102,70,0,6,64
2025-05-13,102,64,0,9,55
2025-05-14,102,55,0,4,51
2025-05-15,102,51,0,5,46
2025-05-16,102,46,0,9,37
2025-05-17,102,37,0,4,33
2025-05-18,102,33,0,2,31
2025-05-19,102,31,120,1,150
2025-05-20,102,150,0,6,144
2025-05-21,102,144,0,1,143
2025-05-22,102,143,0,3,140
2025-05-23,102,140,0,6,134
2025-05-24,102,134,0,2,132
2025-05-25,102,132,0,1,131
2025-05-26,102,131,0,9,122
2025-05-27,102,122,0,6,116
2025-05-28,102,116,0,0,116
2025-05-29,102,116,0,7,109
2025-05-30,102,109,0,2,107
2025-05-31,102,107,0,1,106
2025-06-01,102,106,0,2,104
2025-06-02,102,104,0,4,100
2025-06-03,102,100,0,7,93
2025-06-04,102,93,0,9,84
2025-06-05,102,84,0,6,78
2025-06-06,102,78,0,6,72
2025-06-07,102,72,0,6,66
2025-06-08,102,66,0,7,59
