Fecha,ID_Producto,ID_Almacen,Tipo_Movimiento,Cantidad
2025-01-01,PROD044,ALM02,Salida,12
2025-01-01,PROD028,ALM01,Salida,23
2025-01-01,PROD001,ALM01,Salida,1
2025-01-01,PROD013,ALM01,Salida,20
2025-01-01,PROD008,ALM03,Salida,6
2025-01-01,PROD033,ALM03,Salida,5
2025-01-01,PROD015,ALM03,Salida,24
2025-01-01,PROD041,ALM01,Salida,24
2025-01-01,PROD012,ALM02,Entrada,285
2025-01-01,PROD049,ALM01,Salida,3
2025-01-01,PROD049,ALM02,Salida,17
2025-01-01,PROD023,ALM01,Salida,22
2025-01-01,PROD019,ALM02,Salida,1
2025-01-01,PROD026,ALM02,Entrada,271
2025-01-01,PROD011,ALM03,Salida,4
2025-01-01,PROD024,ALM01,Salida,6
2025-01-01,PROD022,ALM03,Salida,6
2025-01-01,PROD033,ALM01,Salida,16
2025-01-01,PROD016,ALM01,Salida,6
2025-01-01,PROD019,ALM02,Salida,4
2025-01-01,PROD020,ALM03,Salida,19
2025-01-01,PROD040,ALM03,Entrada,260
2025-01-01,PROD011,ALM01,Devolución,1
2025-01-01,PROD031,ALM02,Entrada,250
2025-01-01,PROD016,ALM02,Salida,7
2025-01-01,PROD049,ALM02,Devolución,20
2025-01-01,PROD005,ALM01,Devolución,12
2025-01-01,PROD009,ALM01,Salida,23
2025-01-01,PROD016,ALM03,Salida,16
2025-01-01,PROD033,ALM03,Salida,22
2025-01-02,PROD040,ALM02,Entrada,265
2025-01-02,PROD025,ALM01,Entrada,198
2025-01-02,PROD018,ALM02,Salida,14
2025-01-02,PROD041,ALM01,Salida,16
2025-01-02,PROD021,ALM03,Entrada,241
2025-01-02,PROD048,ALM03,Salida,1
2025-01-02,PROD022,ALM02,Salida,23
2025-01-02,PROD045,ALM03,Salida,6
2025-01-02,PROD021,ALM02,Salida,2
2025-01-02,PROD033,ALM01,Salida,15
2025-01-02,PROD019,ALM03,Salida,16
2025-01-02,PROD044,ALM02,Salida,17
2025-01-02,PROD006,ALM03,Devolución,21
2025-01-02,PROD024,ALM01,Salida,5
2025-01-02,PROD031,ALM03,Salida,21
2025-01-02,PROD021,ALM03,Devolución,20
2025-01-02,PROD018,ALM01,Salida,3
2025-01-02,PROD003,ALM02,Salida,22
2025-01-02,PROD047,ALM02,Entrada,131
2025-01-02,PROD002,ALM02,Salida,10
2025-01-02,PROD009,ALM03,Salida,1
2025-01-02,PROD029,ALM02,Salida,7
2025-01-02,PROD050,ALM01,Salida,3
2025-01-02,PROD036,ALM01,Salida,7
