Fecha,Hotel_ID,Habitaciones_Vendidas,Habitaciones_Disponibles,Ingresos_Habitacion,ADR,Costos_Variables,Canal_Principal,Lead_Time_Promedio,RevPAR,Occupancy_%
2024-01-01,Luxury Resort,83,120,52931.89,637.73,6640,OTA,19,441.09908333333334,0.6916666666666667
2024-01-01,Midscale City,157,250,34210.39,217.9,7065,Agencias,0,136.84156,0.628
2024-01-01,Economy Stay,76,100,8747.48,115.1,1900,Corporativo,0,87.4748,0.76
2024-01-02,Luxury Resort,99,120,65499.63,661.61,7920,Directo,3,545.83025,0.825
2024-01-02,Midscale City,168,250,39506.64,235.16,7560,Directo,8,158.02656,0.672
2024-01-02,Economy Stay,76,100,7792.49,102.53,1900,OTA,5,77.9249,0.76
2024-01-03,Luxury Resort,86,120,53179.44,618.37,6880,OTA,3,443.16200000000003,0.7166666666666667
2024-01-03,Midscale City,189,250,40214.26,212.77,8505,Directo,14,160.85704,0.756
2024-01-03,Economy Stay,60,100,7225.22,120.42,1500,Agencias,50,72.2522,0.6
2024-01-04,Luxury Resort,80,120,43034.21,537.93,6400,OTA,17,358.61841666666663,0.6666666666666666
2024-01-04,Midscale City,155,250,36235.01,233.77,6975,Corporativo,0,144.94004,0.62
2024-01-04,Economy Stay,66,100,7530.06,114.09,1650,OTA,5,75.3006,0.66
2024-01-05,Luxury Resort,120,120,78930.43,657.75,9600,Agencias,52,657.7535833333333,1.0
2024-01-05,Midscale City,250,250,75743.38,302.97,11250,Corporativo,13,302.97352,1.0
2024-01-05,Economy Stay,84,100,10461.15,124.54,2100,OTA,0,104.61149999999999,0.84
2024-01-06,Luxury Resort,116,120,77708.1,669.9,9280,OTA,26,647.5675,0.9666666666666667
2024-01-06,Midscale City,231,250,65418.69,283.2,10395,Agencias,2,261.67476,0.924
2024-01-06,Economy Stay,84,100,12223.03,145.51,2100,Directo,22,122.2303,0.84
2024-01-07,Luxury Resort,97,120,72390.21,746.29,7760,Agencias,18,603.25175,0.8083333333333333
2024-01-07,Midscale City,250,250,64219.59,256.88,11250,Directo,6,256.87836,1.0
2024-01-07,Economy Stay,100,100,13586.99,135.87,2500,Directo,6,135.8699,1.0
2024-01-08,Luxury Resort,81,120,45728.26,564.55,6480,OTA,19,381.0688333333334,0.675
2024-01-08,Midscale City,211,250,58919.55,279.24,9495,Agencias,1,235.6782,0.844
2024-01-08,Economy Stay,80,100,10738.01,134.23,2000,OTA,22,107.3801,0.8
2024-01-09,Luxury Resort,88,120,50733.96,576.52,7040,Directo,0,422.783,0.7333333333333333
2024-01-09,Midscale City,148,250,35576.83,240.38,6660,OTA,5,142.30732,0.592
2024-01-09,Economy Stay,85,100,10705.85,125.95,2125,Agencias,7,107.05850000000001,0.85
2024-01-10,Luxury Resort,78,120,41769.52,535.51,6240,Directo,5,348.0793333333333,0.65
2024-01-10,Midscale City,214,250,63794.26,298.1,9630,Agencias,15,255.17704,0.856
2024-01-10,Economy Stay,82,100,10191.6,124.29,2050,OTA,33,101.916,0.82
2024-01-11,Luxury Resort,98,120,74245.9,757.61,7840,Directo,5,618.7158333333333,0.8166666666666667
2024-01-11,Midscale City,162,250,37355.36,230.59,7290,Agencias,25,149.42144,0.648
2024-01-11,Economy Stay,58,100,6422.78,110.74,1450,Directo,8,64.2278,0.58
2024-01-12,Luxury Resort,103,120,69957.72,679.2,8240,OTA,42,582.981,0.8583333333333333
2024-01-12,Midscale City,250,250,73050.39,292.2,11250,Corporativo,6,292.20156,1.0
2024-01-12,Economy Stay,100,100,12601.73,126.02,2500,OTA,10,126.01729999999999,1.0
2024-01-13,Luxury Resort,111,120,70704.66,636.98,8880,OTA,14,589.2055,0.925
2024-01-13,Midscale City,208,250,55820.71,268.37,9360,Directo,35,223.28284,0.832
2024-01-13,Economy Stay,87,100,11511.86,132.32,2175,Directo,63,115.1186,0.87
2024-01-14,Luxury Resort,120,120,88647.77,738.73,9600,Agencias,4,738.7314166666667,1.0
2024-01-14,Midscale City,240,250,69175.27,288.23,10800,OTA,15,276.70108,0.96
2024-01-14,Economy Stay,84,100,11885.35,141.49,2100,Directo,5,118.8535,0.84
2024-01-15,Luxury Resort,71,120,42290.05,595.63,5680,Directo,16,352.4170833333334,0.5916666666666667
2024-01-15,Midscale City,183,250,40479.6,221.2,8235,Directo,15,161.9184,0.732
2024-01-15,Economy Stay,78,100,8423.75,108.0,1950,Directo,41,84.2375,0.78
2024-01-16,Luxury Resort,82,120,44261.66,539.78,6560,Agencias,38,368.8471666666667,0.6833333333333333
2024-01-16,Midscale City,165,250,39845.4,241.49,7425,OTA,25,159.3816,0.66
2024-01-16,Economy Stay,73,100,7650.03,104.79,1825,Agencias,1,76.5003,0.73
2024-01-17,Luxury Resort,101,120,72789.43,720.69,8080,OTA,6,606.5785833333333,0.8416666666666667
2024-01-17,Midscale City,199,250,50264.37,252.58,8955,Agencias,32,201.05748,0.796
2024-01-17,Economy Stay,77,100,7800.83,101.31,1925,Agencias,2,78.0083,0.77
2024-01-18,Luxury Resort,91,120,48009.42,527.58,7280,OTA,1,400.07849999999996,0.7583333333333333
2024-01-18,Midscale City,146,250,31846.37,218.13,6570,OTA,11,127.38548,0.584
2024-01-18,Economy Stay,77,100,8039.29,104.41,1925,Directo,18,80.3929,0.77
2024-01-19,Luxury Resort,113,120,83236.64,736.61,9040,Agencias,15,693.6386666666666,0.9416666666666667
2024-01-19,Midscale City,250,250,71159.05,284.64,11250,OTA,1,284.63620000000003,1.0
2024-01-19,Economy Stay,92,100,11574.58,125.81,2300,OTA,54,115.7458,0.92
2024-01-20,Luxury Resort,120,120,86449.42,720.41,9600,OTA,23,720.4118333333333,1.0
2024-01-20,Midscale City,250,250,70094.95,280.38,11250,Agencias,3,280.3798,1.0
2024-01-20,Economy Stay,92,100,11038.61,119.98,2300,Directo,15,110.3861,0.92
2024-01-21,Luxury Resort,120,120,91887.79,765.73,9600,OTA,36,765.7315833333333,1.0
2024-01-21,Midscale City,204,250,62190.29,304.85,9180,Corporativo,8,248.76116,0.816
2024-01-21,Economy Stay,100,100,14196.18,141.96,2500,OTA,5,141.9618,1.0
2024-01-22,Luxury Resort,100,120,67629.58,676.3,8000,OTA,2,563.5798333333333,0.8333333333333334
2024-01-22,Midscale City,214,250,62447.13,291.81,9630,Directo,12,249.78851999999998,0.856
2024-01-22,Economy Stay,76,100,9221.09,121.33,1900,OTA,2,92.2109,0.76
2024-01-23,Luxury Resort,100,120,73580.39,735.8,8000,Agencias,17,613.1699166666666,0.8333333333333334
2024-01-23,Midscale City,172,250,38586.5,224.34,7740,Agencias,24,154.346,0.688
2024-01-23,Economy Stay,83,100,11915.41,143.56,2075,OTA,10,119.1541,0.83
2024-01-24,Luxury Resort,98,120,70859.38,723.05,7840,Agencias,18,590.4948333333334,0.8166666666666667
2024-01-24,Midscale City,211,250,57329.08,271.7,9495,Directo,7,229.31632000000002,0.844
2024-01-24,Economy Stay,75,100,7518.32,100.24,1875,OTA,9,75.1832,0.75
2024-01-25,Luxury Resort,80,120,47650.2,595.63,6400,Directo,0,397.085,0.6666666666666666
2024-01-25,Midscale City,206,250,56227.35,272.95,9270,OTA,2,224.9094,0.824
2024-01-25,Economy Stay,81,100,10130.15,125.06,2025,Directo,14,101.30149999999999,0.81
2024-01-26,Luxury Resort,100,120,70640.22,706.4,8000,OTA,11,588.6685,0.8333333333333334
2024-01-26,Midscale City,250,250,76880.96,307.52,11250,OTA,10,307.52384,1.0
2024-01-26,Economy Stay,100,100,12652.25,126.52,2500,Directo,8,126.5225,1.0
2024-01-27,Luxury Resort,98,120,75161.67,766.96,7840,OTA,27,626.34725,0.8166666666666667
2024-01-27,Midscale City,244,250,64038.34,262.45,10980,Directo,2,256.15335999999996,0.976
2024-01-27,Economy Stay,100,100,13829.11,138.29,2500,Directo,16,138.2911,1.0
2024-01-28,Luxury Resort,120,120,88248.09,735.4,9600,OTA,12,735.40075,1.0
2024-01-28,Midscale City,245,250,65324.98,266.63,11025,Agencias,6,261.29992,0.98
2024-01-28,Economy Stay,81,100,9915.88,122.42,2025,Directo,0,99.15879999999999,0.81
2024-01-29,Luxury Resort,100,120,73059.36,730.59,8000,Directo,9,608.828,0.8333333333333334
2024-01-29,Midscale City,182,250,42362.04,232.76,8190,OTA,2,169.44816,0.728
2024-01-29,Economy Stay,70,100,7914.22,113.06,1750,Directo,15,79.1422,0.7
2024-01-30,Luxury Resort,83,120,49777.23,599.73,6640,Agencias,10,414.81025000000005,0.6916666666666667
2024-01-30,Midscale City,194,250,42335.71,218.23,8730,OTA,1,169.34284,0.776
2024-01-30,Economy Stay,59,100,6631.34,112.4,1475,OTA,42,66.3134,0.59
2024-01-31,Luxury Resort,83,120,49946.47,601.76,6640,OTA,9,416.22058333333337,0.6916666666666667
2024-01-31,Midscale City,215,250,58996.76,274.4,9675,Corporativo,48,235.98704,0.86
2024-01-31,Economy Stay,64,100,6462.9,100.98,1600,Directo,1,64.62899999999999,0.64
2024-02-01,Luxury Resort,73,120,44268.06,606.41,5840,OTA,1,368.90049999999997,0.6083333333333333
2024-02-01,Midscale City,208,250,52837.61,254.03,9360,Directo,25,211.35044,0.832
2024-02-01,Economy Stay,61,100,7005.72,114.85,1525,Agencias,14,70.05720000000001,0.61
2024-02-02,Luxury Resort,120,120,89353.05,744.61,9600,Directo,4,744.60875,1.0
2024-02-02,Midscale City,250,250,74507.96,298.03,11250,OTA,69,298.03184000000005,1.0
2024-02-02,Economy Stay,96,100,13433.33,139.93,2400,Corporativo,6,134.3333,0.96
2024-02-03,Luxury Resort,120,120,83043.69,692.03,9600,Agencias,20,692.03075,1.0
2024-02-03,Midscale City,213,250,64625.77,303.41,9585,Agencias,10,258.50308,0.852
2024-02-03,Economy Stay,94,100,13450.39,143.09,2350,Directo,7,134.5039,0.94
