Monto,ID_Transaccion,Fecha,ID_Empleado,ID_Proveedor
561.15,1,2025-01-10,EMP006,PROV010
7969.45,2,2025-07-02,EMP083,PROV036
2910.64,3,2025-04-23,EMP039,PROV008
1575.13,4,2025-02-17,EMP097,PROV048
205.13,5,2025-02-10,EMP043,PROV012
205.11,6,2025-09-30,EMP050,PROV017
130.67,7,2025-08-24,EMP009,PROV050
5399.48,8,2025-02-18,EMP025,PROV003
1593.05,9,2025-06-10,EMP032,PROV003
2607.02,10,2025-08-10,EMP083,PROV017
109.94,11,2025-10-13,EMP046,PROV048
8706.02,12,2025-05-23,EMP081,PROV034
4622.59,13,2025-12-15,EMP066,PROV020
265.88,14,2025-04-30,EMP003,PROV040
231.02,15,2025-07-06,EMP029,PROV026
232.71,16,2025-06-09,EMP004,PROV035
405.96,17,2025-09-14,EMP099,PROV048
1120.76,18,2025-08-25,EMP012,PROV006
730.95,19,2025-11-20,EMP096,PROV048
382.35,20,2025-12-08,EMP004,PROV005
1673.81,21,2025-10-20,EMP063,PROV031
190.1,22,2025-09-13,EMP003,PROV046
383.96,23,2025-06-19,EMP074,PROV049
540.41,24,2025-07-16,EMP058,PROV008
816.85,25,2025-01-22,EMP077,PROV003
3718.36,26,2025-01-18,EMP020,PROV019
250.81,27,2025-10-22,EMP045,PROV026
1067.75,28,2025-05-30,EMP012,PROV011
1530.49,29,2025-01-26,EMP066,PROV010
123.85,30,2025-06-15,EMP085,PROV043
1640.93,31,2025-03-16,EMP061,PROV019
219.3,32,2025-04-15,EMP002,PROV025
134.93,33,2025-07-28,EMP085,PROV003
7902.62,34,2025-11-22,EMP015,PROV029
8536.19,35,2025-05-30,EMP032,PROV030
4138.04,36,2025-01-20,EMP059,PROV001
406.66,37,2025-04-30,EMP071,PROV034
156.8,38,2025-05-12,EMP086,PROV009
2335.96,39,2025-02-02,EMP083,PROV006
759.11,40,2025-08-15,EMP013,PROV034
175.42,41,2025-08-16,EMP062,PROV037
978.03,42,2025-10-09,EMP005,PROV008
117.16,43,2025-07-16,EMP039,PROV007
6586.29,44,2025-01-13,EMP071,PROV020
329.28,45,2025-05-19,EMP078,PROV027
2113.71,46,2025-05-07,EMP022,PROV029
420.17,47,2025-10-13,EMP058,PROV046
1096.82,48,2025-09-18,EMP002,PROV028
1240.0,49,2025-12-15,EMP017,PROV035
234.27,50,2025-09-14,EMP047,PROV035
8692.99,51,2025-11-15,EMP057,PROV046
3550.3,52,2025-05-08,EMP020,PROV049
7568.29,53,2025-03-31,EMP027,PROV016
6161.05,54,2025-11-15,EMP096,PROV034
1569.64,55,2025-09-02,EMP064,PROV045
6978.28,56,2025-03-28,EMP002,PROV003
150.31,57,2025-06-20,EMP046,PROV017
246.58,58,2025-11-26,EMP090,PROV039
123.16,59,2025-02-11,EMP037,PROV012
447.36,60,2025-04-07,EMP058,PROV017
598.9,61,2025-07-02,EMP007,PROV033
348.9,62,2025-04-02,EMP055,PROV042
4544.38,63,2025-12-18,EMP068,PROV011
517.02,64,2025-11-04,EMP046,PROV030
364.64,65,2025-03-05,EMP063,PROV010
1217.28,66,2025-04-17,EMP016,PROV049
191.36,67,2025-07-12,EMP041,PROV020
4021.55,68,2025-03-28,EMP008,PROV041
140.96,69,2025-10-24,EMP073,PROV048
9413.99,70,2025-06-29,EMP005,PROV016
3503.4,71,2025-01-17,EMP090,PROV039
249.71,72,2025-08-17,EMP042,PROV009
102.58,73,2025-11-29,EMP014,PROV026
4274.87,74,2025-03-19,EMP017,PROV022
2592.48,75,2025-03-21,EMP033,PROV006
2870.88,76,2025-04-27,EMP040,PROV003
3487.71,77,2025-10-01,EMP079,PROV003
140.63,78,2025-09-02,EMP052,PROV044
521.11,79,2025-03-05,EMP085,PROV027
170.51,80,2025-03-28,EMP096,PROV044
5323.62,81,2025-03-13,EMP075,PROV011
1764.4,82,2025-05-04,EMP021,PROV029
458.98,83,2025-06-01,EMP062,PROV042
134.0,84,2025-08-18,EMP083,PROV009
418.76,85,2025-11-13,EMP025,PROV040
447.06,86,2025-04-09,EMP036,PROV042
2878.81,87,2025-10-31,EMP100,PROV018
1884.15,88,2025-09-14,EMP037,PROV043
5948.75,89,2025-10-30,EMP003,PROV043
879.89,90,2025-05-31,EMP089,PROV001
173.46,91,2025-05-30,EMP075,PROV047
2669.87,92,2025-10-17,EMP050,PROV019
3323.3,93,2025-05-30,EMP100,PROV012
1326.03,94,2025-12-05,EMP033,PROV007
3482.85,95,2025-10-05,EMP007,PROV027
971.83,96,2025-09-24,EMP005,PROV040
1110.36,97,2025-08-21,EMP097,PROV008
716.28,98,2025-10-17,EMP045,PROV012
112.42,99,2025-08-05,EMP025,PROV010
164.35,100,2025-03-30,EMP070,PROV008
115.57,101,2025-07-29,EMP046,PROV019
1874.22,102,2025-09-06,EMP033,PROV018
425.32,103,2025-05-08,EMP023,PROV038
1040.26,104,2025-07-25,EMP035,PROV047
6533.31,105,2025-03-14,EMP060,PROV001
315.2,106,2025-06-02,EMP077,PROV049
661.86,107,2025-07-24,EMP056,PROV007
3244.16,108,2025-02-18,EMP095,PROV038
286.81,109,2025-01-29,EMP041,PROV036
142.55,110,2025-04-11,EMP064,PROV017
379.75,111,2025-07-19,EMP064,PROV013
210.11,112,2025-04-16,EMP044,PROV036
7234.28,113,2025-06-22,EMP004,PROV027
4132.77,114,2025-12-19,EMP025,PROV047
1848.45,115,2025-04-30,EMP066,PROV038
5532.5,116,2025-05-24,EMP071,PROV030
4048.97,117,2025-08-04,EMP089,PROV018
236.12,118,2025-08-15,EMP026,PROV035
6097.03,119,2025-03-28,EMP088,PROV026
1198.63,120,2025-07-27,EMP006,PROV026
4119.84,121,2025-06-22,EMP057,PROV029
6197.02,122,2025-06-26,EMP095,PROV015
432.52,123,2025-02-25,EMP055,PROV035
166.0,124,2025-08-02,EMP061,PROV045
285.67,125,2025-11-02,EMP023,PROV022
714.85,126,2025-08-22,EMP001,PROV032
4325.43,127,2025-09-20,EMP016,PROV021
5265.76,128,2025-07-13,EMP075,PROV026
103.25,129,2025-08-08,EMP063,PROV002
1050.74,130,2025-05-29,EMP075,PROV026
683.63,131,2025-09-03,EMP039,PROV016
278.11,132,2025-08-28,EMP012,PROV011
173.67,133,2025-11-21,EMP013,PROV031
473.4,134,2025-06-08,EMP045,PROV001
7688.11,135,2025-08-29,EMP010,PROV044
443.0,136,2025-01-12,EMP040,PROV029
1090.39,137,2025-08-19,EMP097,PROV013
2547.05,138,2025-01-01,EMP088,PROV009
533.65,139,2025-07-07,EMP087,PROV042
8781.41,140,2025-10-25,EMP052,PROV042
8411.91,141,2025-01-30,EMP094,PROV011
318.83,142,2025-11-02,EMP003,PROV049
987.41,143,2025-07-07,EMP005,PROV006
399.72,144,2025-07-25,EMP080,PROV013
371.26,145,2025-03-22,EMP067,PROV017
118.52,146,2025-05-31,EMP049,PROV028
1656.26,147,2025-04-29,EMP015,PROV028
1012.41,148,2025-03-29,EMP043,PROV005
126.75,149,2025-01-27,EMP028,PROV023
360.82,150,2025-06-30,EMP081,PROV002
6554.38,151,2025-05-14,EMP023,PROV020
301.39,152,2025-09-05,EMP094,PROV044
194.89,153,2025-11-27,EMP061,PROV029
952.59,154,2025-08-21,EMP005,PROV016
9360.54,155,2025-02-20,EMP005,PROV041
304.87,156,2025-03-24,EMP084,PROV003
2209.38,157,2025-10-16,EMP034,PROV039
3336.1,158,2025-07-20,EMP050,PROV001
298.73,159,2025-04-04,EMP081,PROV010
2860.44,160,2025-11-21,EMP083,PROV032
543.96,161,2025-01-26,EMP062,PROV026
1839.13,162,2025-05-04,EMP049,PROV019
1849.52,163,2025-05-30,EMP052,PROV004
1179.1,164,2025-09-15,EMP071,PROV026
151.56,165,2025-12-28,EMP001,PROV049
4683.87,166,2025-02-11,EMP030,PROV001
438.09,167,2025-08-02,EMP010,PROV032
236.07,168,2025-04-29,EMP065,PROV040
120.66,169,2025-08-24,EMP031,PROV020
1519.8,170,2025-11-23,EMP071,PROV042
2265.32,171,2025-11-22,EMP012,PROV037
107.94,172,2025-02-21,EMP078,PROV034
1057.27,173,2025-08-01,EMP017,PROV004
283.79,174,2025-07-11,EMP083,PROV012
1951.4,175,2025-04-21,EMP044,PROV021
223.22,176,2025-01-26,EMP022,PROV001
2409.21,177,2025-05-02,EMP033,PROV041
593.57,178,2025-07-02,EMP090,PROV048
7472.4,179,2025-05-14,EMP062,PROV034
188.38,180,2025-01-24,EMP030,PROV003
480.99,181,2025-11-06,EMP029,PROV036
168.63,182,2025-05-21,EMP039,PROV045
7069.48,183,2025-03-12,EMP017,PROV034
5684.32,184,2025-10-06,EMP095,PROV039
328.01,185,2025-07-03,EMP081,PROV034
2089.14,186,2025-01-18,EMP078,PROV002
4309.67,187,2025-08-12,EMP010,PROV017
1289.44,188,2025-07-06,EMP043,PROV015
1146.31,189,2025-08-12,EMP078,PROV002
304.58,190,2025-03-19,EMP053,PROV026
153.53,191,2025-11-20,EMP001,PROV016
6229.19,192,2025-07-17,EMP037,PROV031
6321.73,193,2025-04-05,EMP034,PROV050
1845.88,194,2025-10-05,EMP078,PROV014
476.5,195,2025-09-06,EMP079,PROV009
499.37,196,2025-11-26,EMP086,PROV031
2830.81,197,2025-02-11,EMP007,PROV050
6226.16,198,2025-12-21,EMP094,PROV050
5945.29,199,2025-07-22,EMP016,PROV039
3628.7,200,2025-05-06,EMP048,PROV044
1923.37,201,2025-12-31,EMP014,PROV014
147.33,202,2025-03-12,EMP067,PROV015
210.5,203,2025-11-29,EMP011,PROV032
6267.7,204,2025-01-06,EMP045,PROV041
1632.52,205,2025-11-16,EMP050,PROV025
104.33,206,2025-11-02,EMP078,PROV041
159.57,207,2025-10-11,EMP008,PROV004
2123.26,208,2025-05-08,EMP067,PROV032
102.36,209,2025-08-16,EMP005,PROV047
209.71,210,2025-02-25,EMP080,PROV008
1251.61,211,2025-05-14,EMP071,PROV030
2419.86,212,2025-12-01,EMP009,PROV006
2013.37,213,2025-03-28,EMP008,PROV004
280.89,214,2025-06-28,EMP028,PROV027
2656.8,215,2025-07-16,EMP089,PROV020
298.19,216,2025-06-28,EMP034,PROV008
447.51,217,2025-12-14,EMP085,PROV001
3111.59,218,2025-11-08,EMP071,PROV001
1991.89,219,2025-11-13,EMP042,PROV034
4993.98,220,2025-01-14,EMP083,PROV044
2066.45,221,2025-02-06,EMP054,PROV003
1369.67,222,2025-08-27,EMP043,PROV004
153.94,223,2025-06-25,EMP076,PROV019
543.79,224,2025-11-27,EMP043,PROV035
339.16,225,2025-09-16,EMP024,PROV033
307.6,226,2025-03-05,EMP045,PROV025
8831.23,227,2025-10-24,EMP088,PROV023
611.22,228,2025-07-20,EMP029,PROV032
6082.65,229,2025-03-20,EMP095,PROV035
1829.27,230,2025-03-15,EMP014,PROV041
3887.07,231,2025-07-12,EMP012,PROV049
1012.22,232,2025-01-07,EMP018,PROV046
1424.98,233,2025-09-19,EMP065,PROV044
966.13,234,2025-02-02,EMP005,PROV037
245.75,235,2025-12-14,EMP034,PROV012
2785.51,236,2025-03-17,EMP007,PROV003
364.37,237,2025-04-11,EMP031,PROV021
111.85,238,2025-07-17,EMP030,PROV022
1954.09,239,2025-06-08,EMP100,PROV031
226.06,240,2025-06-05,EMP037,PROV003
7601.81,241,2025-01-20,EMP057,PROV025
8088.3,242,2025-12-17,EMP071,PROV028
6756.61,243,2025-03-18,EMP080,PROV049
549.94,244,2025-10-08,EMP082,PROV011
107.38,245,2025-05-10,EMP077,PROV030
7188.48,246,2025-07-31,EMP020,PROV042
718.4,247,2025-11-09,EMP097,PROV006
8576.49,248,2025-06-12,EMP094,PROV032
8457.46,249,2025-05-31,EMP070,PROV017
5081.82,250,2025-02-14,EMP079,PROV022
388.06,251,2025-01-13,EMP047,PROV041
589.11,252,2025-03-03,EMP040,PROV015
5038.18,253,2025-07-30,EMP042,PROV031
430.37,254,2025-04-05,EMP095,PROV016
218.27,255,2025-06-02,EMP042,PROV010
1298.98,256,2025-09-19,EMP030,PROV036
7452.63,257,2025-01-22,EMP026,PROV014
2466.38,258,2025-09-30,EMP094,PROV022
1380.77,259,2025-08-17,EMP079,PROV013
156.44,260,2025-12-01,EMP064,PROV050
1698.3,261,2025-09-27,EMP022,PROV047
9552.29,262,2025-08-14,EMP005,PROV005
190.62,263,2025-05-05,EMP026,PROV008
1088.08,264,2025-12-08,EMP056,PROV039
5685.21,265,2025-12-10,EMP009,PROV016
3030.66,266,2025-09-01,EMP009,PROV047
2477.6,267,2025-08-16,EMP037,PROV047
2540.79,268,2025-09-02,EMP062,PROV015
523.58,269,2025-10-12,EMP053,PROV025
386.53,270,2025-10-17,EMP072,PROV021
4156.45,271,2025-10-26,EMP094,PROV026
4170.87,272,2025-09-01,EMP044,PROV037
5421.81,273,2025-01-10,EMP048,PROV014
6706.27,274,2025-03-18,EMP032,PROV020
1053.62,275,2025-08-20,EMP093,PROV014
1007.01,276,2025-12-29,EMP008,PROV009
3949.94,277,2025-10-19,EMP022,PROV032
1994.93,278,2025-08-22,EMP049,PROV010
2534.74,279,2025-12-08,EMP020,PROV023
3904.68,280,2025-07-19,EMP077,PROV042
6025.74,281,2025-12-04,EMP071,PROV020
474.23,282,2025-04-30,EMP096,PROV032
563.85,283,2025-08-08,EMP031,PROV050
154.16,284,2025-06-14,EMP007,PROV035
1434.04,285,2025-08-18,EMP042,PROV028
118.0,286,2025-07-11,EMP061,PROV032
853.49,287,2025-07-26,EMP010,PROV014
1217.0,288,2025-02-14,EMP040,PROV012
374.18,289,2025-09-30,EMP001,PROV013
1519.38,290,2025-05-12,EMP033,PROV008
115.08,291,2025-08-16,EMP050,PROV015
118.77,292,2025-07-24,EMP056,PROV016
4417.75,293,2025-08-17,EMP063,PROV002
525.27,294,2025-09-02,EMP085,PROV027
179.52,295,2025-12-21,EMP099,PROV040
1107.86,296,2025-04-20,EMP006,PROV036
3467.27,297,2025-07-10,EMP058,PROV025
270.17,298,2025-06-06,EMP043,PROV035
1761.09,299,2025-08-13,EMP086,PROV028
148.15,300,2025-09-06,EMP100,PROV038
126.87,301,2025-09-30,EMP055,PROV015
1155.34,302,2025-12-04,EMP089,PROV030
1205.79,303,2025-11-03,EMP082,PROV043
1883.04,304,2025-02-15,EMP054,PROV023
2832.58,305,2025-10-03,EMP036,PROV004
8947.55,306,2025-10-10,EMP004,PROV030
1077.96,307,2025-01-20,EMP035,PROV027
442.5,308,2025-03-04,EMP039,PROV019
3893.79,309,2025-12-16,EMP030,PROV035
348.07,310,2025-10-04,EMP099,PROV045
754.99,311,2025-02-18,EMP078,PROV047
143.52,312,2025-07-24,EMP036,PROV028
112.38,313,2025-10-06,EMP042,PROV047
8419.7,314,2025-02-13,EMP031,PROV045
4698.51,315,2025-05-21,EMP090,PROV036
2465.75,316,2025-06-16,EMP053,PROV038
657.52,317,2025-09-10,EMP096,PROV047
222.12,318,2025-03-01,EMP054,PROV005
205.53,319,2025-10-04,EMP071,PROV002
316.58,320,2025-09-19,EMP012,PROV035
1254.45,321,2025-04-27,EMP009,PROV033
2686.53,322,2025-02-17,EMP034,PROV009
2091.2,323,2025-08-11,EMP032,PROV007
362.97,324,2025-10-16,EMP069,PROV011
8123.26,325,2025-02-28,EMP035,PROV037
2990.84,326,2025-07-31,EMP074,PROV031
1284.42,327,2025-05-18,EMP052,PROV043
1672.79,328,2025-08-29,EMP020,PROV028
690.56,329,2025-02-15,EMP059,PROV026
312.94,330,2025-11-04,EMP075,PROV028
515.16,331,2025-09-07,EMP001,PROV050
3278.63,332,2025-05-28,EMP027,PROV003
106.85,333,2025-08-05,EMP076,PROV019
170.67,334,2025-07-27,EMP057,PROV008
123.6,335,2025-10-27,EMP059,PROV018
120.63,336,2025-12-31,EMP019,PROV007
5139.5,337,2025-03-01,EMP080,PROV045
2554.56,338,2025-12-18,EMP037,PROV046
887.87,339,2025-04-15,EMP079,PROV013
156.92,340,2025-04-25,EMP021,PROV049
962.13,341,2025-02-16,EMP005,PROV025
885.0,342,2025-10-11,EMP026,PROV025
222.03,343,2025-01-13,EMP053,PROV009
737.4,344,2025-04-12,EMP086,PROV036
626.63,345,2025-07-09,EMP080,PROV048
1704.91,346,2025-04-20,EMP013,PROV050
1862.89,347,2025-04-29,EMP056,PROV044
123.2,348,2025-12-13,EMP040,PROV043
561.34,349,2025-11-11,EMP091,PROV050
1785.34,350,2025-02-09,EMP045,PROV022
1014.55,351,2025-06-12,EMP003,PROV040
5163.92,352,2025-02-15,EMP060,PROV017
2076.76,353,2025-04-17,EMP086,PROV035
211.77,354,2025-05-22,EMP024,PROV007
138.4,355,2025-04-03,EMP100,PROV028
1926.81,356,2025-12-30,EMP042,PROV050
112.99,357,2025-10-03,EMP088,PROV033
1484.4,358,2025-08-18,EMP053,PROV002
7593.82,359,2025-03-27,EMP073,PROV035
1415.63,360,2025-10-08,EMP018,PROV021
597.5,361,2025-02-22,EMP081,PROV012
1934.53,362,2025-01-19,EMP061,PROV016
825.1,363,2025-04-13,EMP071,PROV018
1233.77,364,2025-05-18,EMP016,PROV045
7637.12,365,2025-12-28,EMP051,PROV037
591.84,366,2025-10-11,EMP065,PROV023
8363.37,367,2025-12-07,EMP046,PROV050
6466.98,368,2025-01-07,EMP050,PROV018
246.37,369,2025-10-09,EMP065,PROV049
137.63,370,2025-06-24,EMP020,PROV037
159.06,371,2025-07-12,EMP067,PROV035
108.75,372,2025-10-30,EMP098,PROV027
154.48,373,2025-05-05,EMP067,PROV027
2322.81,374,2025-02-18,EMP084,PROV031
138.8,375,2025-03-14,EMP054,PROV021
434.46,376,2025-07-28,EMP044,PROV047
4894.98,377,2025-10-05,EMP076,PROV012
111.31,378,2025-05-24,EMP001,PROV038
4255.37,379,2025-11-24,EMP057,PROV041
366.19,380,2025-11-08,EMP092,PROV020
172.32,381,2025-06-04,EMP059,PROV007
2474.43,382,2025-06-02,EMP008,PROV032
1810.86,383,2025-12-14,EMP032,PROV020
5687.8,384,2025-02-14,EMP026,PROV041
2952.17,385,2025-03-18,EMP026,PROV030
4045.4,386,2025-12-20,EMP066,PROV019
366.5,387,2025-06-17,EMP025,PROV020
226.4,388,2025-11-04,EMP072,PROV041
3171.24,389,2025-12-04,EMP033,PROV012
4108.37,390,2025-04-09,EMP003,PROV019
9572.17,391,2025-10-05,EMP005,PROV012
668.71,392,2025-02-25,EMP042,PROV046
554.67,393,2025-03-23,EMP064,PROV038
3571.3,394,2025-03-16,EMP005,PROV017
480.4,395,2025-06-17,EMP037,PROV033
7269.67,396,2025-09-08,EMP085,PROV041
