ID_Cliente,Fecha_Actividad,Minutos_Uso,Tickets_Soporte
1,2024-01-01,10,0
1,2024-01-31,47,0
1,2024-03-01,85,0
1,2024-03-31,12,0
1,2024-04-30,38,0
1,2024-05-30,84,0
1,2024-06-29,20,0
1,2024-07-29,6,0
1,2024-08-28,1,0
2,2025-02-24,13,2
2,2025-03-26,56,0
2,2025-04-25,12,1
2,2025-05-25,12,1
2,2025-06-24,12,1
2,2025-07-24,12,1
3,2025-05-25,23,2
3,2025-06-24,22,1
3,2025-07-24,35,0
3,2025-08-23,25,0
3,2025-09-22,66,0
3,2025-10-22,65,0
3,2025-11-21,60,0
3,2025-12-21,91,0
3,2026-01-20,68,0
3,2026-02-19,5,0
3,2026-03-21,17,0
4,2024-01-01,71,0
4,2024-01-31,19,0
4,2024-03-01,6,0
4,2024-03-31,5,0
5,2024-05-30,32,0
5,2024-06-29,31,0
5,2024-07-29,77,0
5,2024-08-28,52,0
5,2024-09-27,39,0
5,2024-10-27,75,0
5,2024-11-26,73,0
5,2024-12-26,52,0
5,2025-01-25,29,0
5,2025-02-24,79,0
5,2025-03-26,18,0
5,2025-04-25,11,0
5,2025-05-25,1,0
6,2024-03-31,22,0
6,2024-04-30,66,1
6,2024-05-30,81,1
6,2024-06-29,99,0
6,2024-07-29,54,0
6,2024-08-28,30,0
6,2024-09-27,62,0
6,2024-10-27,40,0
6,2024-11-26,84,0
6,2024-12-26,40,1
6,2025-01-25,4,0
6,2025-02-24,12,0
7,2024-07-29,11,0
8,2024-08-28,1,0
9,2025-04-25,46,0
9,2025-05-25,27,1
9,2025-06-24,10,0
9,2025-07-24,87,0
9,2025-08-23,66,0
9,2025-09-22,65,0
9,2025-10-22,32,0
9,2025-11-21,92,0
9,2025-12-21,16,2
9,2026-01-20,42,0
9,2026-02-19,78,0
9,2026-03-21,41,0
9,2026-04-20,3,0
9,2026-05-20,13,0
10,2025-05-25,68,0
10,2025-06-24,58,2
10,2025-07-24,43,0
10,2025-08-23,11,0
10,2025-09-22,78,0
10,2025-10-22,50,0
10,2025-11-21,72,0
10,2025-12-21,15,0
10,2026-01-20,7,0
11,2025-01-25,3,0
12,2024-08-28,1,0
13,2025-05-25,12,1
14,2024-01-31,9,0
15,2024-10-27,13,0
15,2024-11-26,71,0
15,2024-12-26,91,0
15,2025-01-25,75,0
15,2025-02-24,3,2
15,2025-03-26,11,0
16,2024-10-27,70,0
16,2024-11-26,21,0
16,2024-12-26,10,0
16,2025-01-25,77,0
16,2025-02-24,49,0
16,2025-03-26,71,2
16,2025-04-25,13,0
16,2025-05-25,3,0
17,2024-05-30,0,0
18,2024-01-31,5,0
19,2024-11-26,11,0
20,2025-04-25,6,0
21,2025-03-26,80,0
21,2025-04-25,65,0
21,2025-05-25,74,0
21,2025-06-24,7,0
21,2025-07-24,11,2
22,2025-03-26,38,2
22,2025-04-25,11,0
22,2025-05-25,71,0
22,2025-06-24,40,0
22,2025-07-24,20,0
22,2025-08-23,22,0
22,2025-09-22,93,0
22,2025-10-22,69,0
22,2025-11-21,89,0
22,2025-12-21,74,0
22,2026-01-20,55,0
22,2026-02-19,69,1
22,2026-03-21,2,0
22,2026-04-20,15,0
23,2024-10-27,18,1
